年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,11,租賃,臺北市,松山區,建物,臺北市松山區長安東路二段201~250號,0,商,NA,NA,10111,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670817,90.56,2,2,2,有,有,有,40000,442,,0,0,304930,2771277,121.54439,25.04857
101,11,租賃,臺北市,信義區,建物,臺北市松山區基隆路一段101~150號,0,住,NA,NA,10111,土地0建物1車位0,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950802,51.94,1,1,1,有,有,有,35000,674,,0,0,307207,2770756,121.56694,25.04378
102,1,租賃,臺北市,內湖區,建物,臺北市內湖區瑞光路513巷1~50號,0,工,NA,NA,10201,土地0建物1車位0,三層,9,廠辦,工業用,鋼筋混凝土造,871022,252.15,0,0,0,無,有,無,88103,349,,0,0,307469,2774733,121.5697,25.07967
101,11,租賃,臺北市,信義區,建物,臺北市信義區忠孝東路五段372巷27弄1~50號,0,住,NA,NA,10111,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,NA,51.35,0,0,1,無,有,無,33000,643,,0,0,308074,2770296,121.57551,25.03959
101,11,租賃,臺北市,大安區,建物,臺北市大安區基隆路二段209巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,NA,33.08,0,0,0,無,無,有,16000,484,,0,0,305686,2768410,121.55177,25.02266
101,11,租賃,臺北市,大安區,建物,臺北市大安區忠孝東路四段151~200號,0,商,NA,NA,10111,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,NA,244.64,0,0,0,無,無,無,115500,472,,0,0,305515,2770516,121.55016,25.04168
101,11,租賃,臺北市,大安區,建物,臺北市大安區復興南路一段219巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,NA,121.37,2,2,2,有,無,有,58700,484,,0,0,305053,2770190,121.54557,25.03875
101,11,租賃,臺北市,士林區,建物,臺北市士林區中山北路六段441巷1~50號,0,住,NA,NA,10111,土地0建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,970715,376.96,4,2,3,有,有,有,184547,490,坡道平面,71.68,0,303003,2778793,121.52558,25.11649
101,11,租賃,臺北市,北投區,建物,臺北市北投區崇仰三路1~50號,0,住,NA,NA,10111,土地0建物1車位1,全,2,透天厝,住家用,加強磚造,540430,264.93,4,2,3,有,有,有,95000,359,其他,30.1,0,301964,2780058,121.51533,25.12795
101,11,租賃,臺北市,士林區,建物,臺北市士林區中山北路七段201~250號,0,住,NA,NA,10111,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,761103,258.62,4,2,5,有,有,有,69000,267,,0,0,303745,2779926,121.53299,25.12669
101,12,租賃,臺北市,士林區,建物,臺北市士林區中山北路六段195巷1~50號,0,住,NA,NA,10112,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970506,159.73,3,1,2,有,有,有,78000,488,,0,0,302904,2777860,121.52457,25.10807
101,11,租賃,臺北市,大同區,建物,臺北市大同區重慶北路二段51~100號,0,商,NA,NA,10111,土地0建物1車位0,六層,12,辦公商業大樓,商業用,鋼筋混凝土造,720131,171.13,0,0,0,無,無,有,48400,283,,0,0,301910,2772039,121.51449,25.05555
101,11,租賃,臺北市,中正區,建物,臺北市中正區信義路二段101~150號,0,商,NA,NA,10111,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950804,162.41,3,2,2,有,有,有,62000,382,,0,0,303314,2769661,121.52831,25.03404
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區內湖路一段411巷90弄1~50號,0,住,NA,NA,10111,土地0建物1車位0,五層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,981204,68.71,1,1,1,有,有,有,24000,349,,0,0,307648,2775304,121.5715,25.08482
101,12,租賃,臺北市,中山區,建物,臺北市中山區民權西路1~50號,0,商,NA,NA,10112,土地0建物1車位0,九層,12,辦公商業大樓,商業用,鋼筋混凝土造,660622,101.79,0,0,0,無,有,無,28800,283,,0,0,302622,2772810,121.52158,25.06249
101,11,租賃,臺北市,中山區,建物,臺北市中山區明水路672巷1~50號,0,商,NA,NA,10111,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,941201,130.97,2,2,2,有,有,有,55500,424,坡道平面,22.57,0,305671,2775166,121.55189,25.08365
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區文湖街11巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830923,100.89,3,1,2,有,有,無,25000,248,,0,0,306404,2775351,121.55917,25.08529
101,11,租賃,臺北市,中山區,建物,臺北市中山區松江路25巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971118,46.63,1,1,1,有,有,有,25500,547,,0,0,303853,2771142,121.53371,25.04739
101,11,租賃,臺北市,中山區,建物,臺北市中山區樂群二路101~150號,0,商,NA,NA,10111,土地0建物1車位1,七層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,971121,263.09,4,2,3,有,有,有,138961,528,坡道平面,30.82,0,306015,2774774,121.55529,25.0801
101,11,租賃,臺北市,內湖區,建物,臺北市內湖區民權東路六段101~150號,0,商,NA,NA,10111,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960621,53.9,1,1,1,有,有,有,22000,408,,0,0,309510,2773496,121.58988,25.06843
101,12,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區民生東路二段101~150號,18.65,商,NA,NA,10112,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,651206,78.97,2,2,1,有,有,無,23000,291,,0,0,303681,2772323,121.53205,25.05806
101,12,租賃,臺北市,中山區,建物,臺北市中山區遼寧街51~100號,91,,NA,NA,10112,土地0建物1車位0,見其他登記事項,3,店面(店鋪),,加強磚造,NA,135.5,4,4,2,有,無,無,75000,554,,0,0,304723,2771310,121.54234,25.04887
100,12,租賃,臺北市,中山區,建物,臺北市中山區建國北路一段1~50號,0,,NA,NA,10012,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960913,72.3,1,1,1,有,有,有,30000,415,,0,0,304208,2771213,121.53723,25.04802
101,11,租賃,臺北市,萬華區,房地(土地+建物),臺北市萬華區西藏路151~200號,15.6,住,NA,NA,10111,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840324,52.72,1,1,1,有,無,無,12000,228,,0,0,300777,2769192,121.50316,25.02989
101,11,租賃,臺北市,大同區,建物,臺北市大同區民權西路118巷1~50號,0,商,NA,NA,10111,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950704,39.35,1,1,1,有,有,有,14000,356,,0,0,302148,2772784,121.51688,25.06227
101,11,租賃,臺北市,北投區,建物,臺北市北投區吉利街259巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700409,112.36,3,2,2,有,無,無,17000,151,,0,0,301546,2778938,121.51114,25.11785
102,1,租賃,臺北市,士林區,房地(土地+建物),臺北市士林區中社路二段91巷1~50號,87.29,住,NA,NA,10201,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650406,103.75,3,2,1,有,無,無,16000,154,,0,0,307140,2777822,121.56657,25.10757
101,11,租賃,臺北市,士林區,建物,臺北市士林區忠誠路二段10巷1~50號,0,住,NA,NA,10111,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,941027,309.22,4,2,2,有,有,有,120000,388,坡道平面,0,0,303330,2777908,121.52879,25.10849
101,12,租賃,臺北市,士林區,建物,臺北市士林區中山北路七段63巷1~50號,0,住,NA,NA,10112,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950816,270.03,4,2,4,有,有,有,143000,530,坡道平面,0,0,303511,2779251,121.53064,25.12061
101,12,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區四維路182巷1~50號,7.22,住,NA,NA,10112,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700820,186.56,3,2,1,有,無,無,75000,402,,0,0,305305,2768929,121.54801,25.02736
101,12,租賃,臺北市,大安區,建物,臺北市大安區忠孝東路四段1~50號,0,商,NA,NA,10112,土地0建物1車位0,六層,10,辦公商業大樓,商業用,鋼筋混凝土造,750422,295.35,0,0,0,無,有,無,190000,643,,0,0,304910,2770515,121.54416,25.04169
