年份,月份,交易類別,縣市,鄉鎮市區,交易標的,土地區段位置.建物區段門牌,土地移轉總面積.平方公尺.,使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積.平方公尺.,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱, 總價.元. ,單價.元.平方公尺.,車位類別,車位移轉總面積.平方公尺.,車位總價.元.,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
101,8,租賃,臺北市,中山區,建物,臺北市中山區建國北路一段101~150號,0,,NA,NA,10108,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990318,30.41,1,0,1,有,無,無,"18,000",592,,0,0,304102,2771584,121.5362,25.05137
101,9,租賃,臺北市,中山區,建物,臺北市中山區北安路751~800號,0,,NA,NA,10109,土地0建物1車位0,一層,10,辦公商業大樓,住家用,鋼筋混凝土造,751120,165.29,1,0,1,有,無,有,"72,000",436,,0,0,305817,2775394,121.55335,25.0857
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區新生北路二段68巷1~50號,6.2,商,NA,NA,10108,土地1建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971229,73.83,1,1,1,有,有,有,"38,000",515,,0,0,303169,2772129,121.52697,25.05632
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區松江路1~50號,857,商,NA,NA,10108,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670823,37.52,0,0,0,無,有,有,"16,000",426,,0,0,303763,2771153,121.53282,25.04749
101,9,租賃,臺北市,南港區,建物,臺北市南港區重陽路451~500號,0,,NA,NA,10109,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990419,175.21,2,1,2,有,無,無,"49,000",280,,0,0,311685,2772483,121.61139,25.0592
101,8,租賃,臺北市,南港區,建物,臺北市南港區成福路51~100號,34.81,住,NA,NA,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,58.31,2,1,1,有,無,有,"15,000",257,,0,0,309196,2770825,121.58665,25.04433
101,9,租賃,臺北市,文山區,房地(土地+建物)+車位,臺北市文山區一壽街1~50號,38.35,住,NA,NA,10109,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851223,136.33,2,2,2,有,有,無,"26,500",194,坡道機械,19.14,0,306189,2763524,121.55655,24.97853
101,8,租賃,臺北市,文山區,房地(土地+建物),臺北市文山區木新路二段201~250號,39.6,住,NA,NA,10108,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,84.9,2,2,1,有,無,有,"14,000",165,,0,0,307322,2764057,121.5678,24.9833
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區復興南路一段101~150號,5.38,商,NA,NA,10108,土地1建物1車位0,三層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,950424,42.51,1,1,1,有,有,有,"20,000",470,,0,0,304827,2770648,121.54335,25.04289
101,8,租賃,臺北市,大安區,建物,臺北市大安區仁愛路四段201~250號,10.27,住,NA,NA,10108,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670912,78.45,2,2,1,有,有,無,"25,000",319,,0,0,305751,2770011,121.55248,25.03711
101,9,租賃,臺北市,北投區,房地(土地+建物),臺北市北投區泉源路1~50號,9.98,住,NA,NA,10109,土地2建物1車位0,五層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710226,57.55,1,1,1,有,有,有,"11,000",191,,0,0,301559,2781499,121.51137,25.14097
101,9,租賃,臺北市,中正區,建物,臺北市大安區青田街2巷1~50號,0,,NA,NA,10109,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,660823,105.42,4,2,1,有,無,無,"27,000",256,,0,0,302319,2769262,121.51844,25.03047
101,8,租賃,臺北市,中正區,建物,臺北市中正區羅斯福路四段51~100號,0,,NA,NA,10108,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,941229,36.36,3,2,2,有,無,無,"22,000",605,,0,0,303933,2767471,121.53436,25.01424
101,9,租賃,臺北市,文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段33巷1~50號,14.55,住,NA,NA,10109,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971208,49.67,0,1,1,無,有,有,"18,000",362,坡道平面,42.62,0,307658,2765219,121.57117,24.99378
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區合江街188巷1~50號,0,住,NA,NA,10108,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601015,88.15,3,1,2,有,有,有,"36,000",408,,0,0,303714,2771847,121.53236,25.05376
101,9,租賃,臺北市,內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路513巷1~50號,235.01,工,NA,NA,10109,土地1建物1車位2,四層,11,辦公商業大樓,工業用,鋼筋混凝土造,871022,235.01,5,0,0,有,無,有,"85,000",362,坡道平面,0,0,307457,2774745,121.56958,25.07978
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區陽光街51~100號,0,,NA,NA,10108,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860227,99.17,3,2,1,有,無,有,"15,000",151,,0,0,309094,2774258,121.58579,25.07532
101,8,租賃,臺北市,內湖區,建物,臺北市內湖區星雲街151~200號,0,,NA,NA,10108,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841023,99.17,3,1,2,有,無,無,"30,000",303,,0,0,310130,2774799,121.59608,25.08017
101,8,租賃,臺北市,內湖區,房地(土地+建物),臺北市內湖區文德路208巷1~50號,27.23,住,NA,NA,10108,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831229,100.17,3,2,2,有,有,有,"26,700",267,,0,0,308856,2774390,121.58343,25.07652
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區民權東路一段1~50號,160.12,商,NA,NA,10108,土地1建物1車位0,九層,10,辦公商業大樓,商業用,鋼筋混凝土造,890630,167.44,0,0,0,無,有,無,"75,000",448,,0,0,302950,2772846,121.52483,25.0628
101,8,租賃,臺北市,中山區,房地(土地+建物)+車位,臺北市中山區敬業一路101~150號,0,住,NA,NA,10108,土地0建物1車位1,八層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,940127,74.82,1,1,1,有,有,有,"33,000",441,升降機械,12.92,0,305693,2775183,121.55211,25.0838
101,8,租賃,臺北市,中山區,房地(土地+建物),臺北市中山區合江街188巷1~50號,0,住,NA,NA,10108,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,110.01,3,2,2,有,無,有,"24,000",218,,0,0,304342,2772663,121.53862,25.0611
101,8,租賃,臺北市,大安區,房地(土地+建物),臺北市大安區永康街13巷1~50號,42.05,住,NA,NA,10108,土地1建物1車位0,一層,6,店面(店鋪),見使用執照,鋼筋混凝土造,890927,173.48,0,0,0,無,有,有,"160,000",922,,0,0,303506,2769468,121.53021,25.03229
